Description:,Celsius-based heating degree days for a base temperature of 15.5C,
Source:,www.degreedays.net (using temperature data from www.wunderground.com),
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)",
Station:,"Dublin Airport, IE (6.30W,53.42N)",
Station ID:,EIDW,
,,
Month starting,HDD,% Estimated
01/11/2016,291.00,0.00%
01/12/2016,257.00,0.00%
01/01/2017,296.00,0.00%
01/02/2017,255.00,0.00%
01/03/2017,231.00,0.00%
01/04/2017,212.00,0.00%
01/05/2017,118.00,0.00%
01/06/2017,60.00,0.00%
01/07/2017,46.00,0.00%
01/08/2017,53.00,0.00%
01/09/2017,98.00,0.00%
01/10/2017,123.00,0.00%
01/11/2017,265.00,0.00%
01/12/2017,311.00,0.00%
01/01/2018,311.00,20.00%
01/02/2018,336.00,0.00%
01/03/2018,340.00,0.00%
01/04/2018,218.00,0.00%
01/05/2018,122.00,0.00%
01/06/2018,57.00,0.00%
01/07/2018,32.00,0.00%
01/08/2018,44.00,0.00%
01/09/2018,104.00,0.00%
01/10/2018,184.00,0.00%
